,station id,station name,station latitude,station longitude
20124,383.0,Greenwich Ave & Charles St,40.735238,-74.000271
20355,442.0,W 27 St & 7 Ave,40.746647,-73.993915
22355,3479.0,Picnic Point,40.68512559515415,-74.02535319328308
22969,223.0,W 13 St & 7 Ave,40.73781509,-73.99994661
23283,505.0,6 Ave & W 33 St,40.74901271,-73.98848395
24549,380.0,W 4 St & 7 Ave S,40.73401143,-74.00293877
25344,3182.0,Yankee Ferry Terminal,40.686931,-74.016966
29340,3491.0,E 118 St & 1 Ave,40.79747,-73.93504
43479,3282.0,5 Ave & E 88 St,40.78307,-73.95939
184936,513.0,W 56 St & 10 Ave,40.768254,-73.988639
314103,267.0,Broadway & W 36 St,40.75097711,-73.98765428
1031320,3245.0,NYCBS DEPOT - DELANCEY,40.71644423134479,-73.9823305606842
1317341,3240.0,NYCBS Depot BAL - DYR,40.759030082196055,-73.99385869503021
1198,3798.0,W 40 St & 5 Ave,40.752269,-73.982079
1777,3799.0,6 Ave & W 34 St,40.74964,-73.98805
1467245,498.0,Broadway & W 32 St,40.74854862,-73.98808416
